PLAYER_ID,PLAYER_NAME,SEASON,GP,MIN,PTS,AST,REB,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,TARGET_NEXT,NEXT_SEASON
2544,LeBron James,2019-20,67,34.6,25.3,10.2,7.8,1.2,0.5,3.9,0.493,0.348,0.693,6.6,25.0,2020-21
2544,LeBron James,2020-21,45,33.4,25.0,7.8,7.7,1.1,0.6,3.7,0.513,0.365,0.698,6.4,30.3,2021-22
2544,LeBron James,2021-22,56,37.2,30.3,6.2,8.2,1.3,1.1,3.5,0.524,0.359,0.756,-2.1,28.9,2022-23
2544,LeBron James,2022-23,55,35.5,28.9,6.8,8.3,0.9,0.6,3.2,0.5,0.321,0.768,3.9,25.7,2023-24
2546,Carmelo Anthony,2019-20,58,32.8,15.4,1.5,6.3,0.8,0.5,1.7,0.43,0.385,0.845,0.3,13.4,2020-21
2546,Carmelo Anthony,2020-21,69,24.5,13.4,1.5,3.1,0.7,0.6,0.9,0.421,0.409,0.89,-0.3,13.3,2021-22
2730,Dwight Howard,2019-20,69,18.9,7.5,0.7,7.3,0.4,1.1,1.2,0.729,0.6,0.514,2.3,7.0,2020-21
2730,Dwight Howard,2020-21,69,17.3,7.0,0.9,8.4,0.4,0.9,1.6,0.587,0.25,0.576,-1.0,6.2,2021-22
2738,Andre Iguodala,2019-20,21,19.9,4.6,2.4,3.7,0.7,1.0,1.2,0.432,0.298,0.4,-1.2,4.4,2020-21
2738,Andre Iguodala,2020-21,63,21.3,4.4,2.3,3.5,0.9,0.6,1.1,0.383,0.33,0.658,-1.3,4.0,2021-22
2772,Trevor Ariza,2019-20,53,28.2,8.0,1.7,4.6,1.3,0.3,1.1,0.438,0.372,0.838,-0.2,9.4,2020-21
2772,Trevor Ariza,2020-21,30,28.0,9.4,1.8,4.8,1.0,0.6,0.7,0.411,0.35,0.773,1.3,4.0,2021-22
101108,Chris Paul,2019-20,70,31.5,17.6,6.7,5.0,1.6,0.2,2.3,0.489,0.365,0.907,4.7,16.4,2020-21
101108,Chris Paul,2020-21,70,31.4,16.4,8.9,4.5,1.4,0.3,2.2,0.499,0.395,0.934,4.4,14.7,2021-22
101108,Chris Paul,2021-22,65,32.9,14.7,10.8,4.4,1.9,0.3,2.4,0.493,0.317,0.837,7.1,13.9,2022-23
